kategoria_bdot,funkcja_ogolna_budynku,funkcja_szczegolowa_budynku,building,amenity,man_made,leisure,historic,tourism
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,produkcyjny,industrial,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,siedziba firmy lub firm,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,dom weselny,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,dom kultury,yes,,,,,
"obiekty budowlane wpisane do rejestru zabytków i objęte indywidualną ochroną konserwatorską oraz nieruchome, archeologiczne dobra kultury",budynek zabytkowy,budynek wielorodzinny,apartments,,,,yes,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,dom weselny,yes,,,,,
budynki hoteli,budynki hoteli,placówka opiekuńczo-wychowawcza,yes,,,,,
budynki biurowe,budynki biurowe,Starostwo Powiatowe,public,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,schronisko turystyczne,yes,,,,,alpine_hut
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,restauracja,yes,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,stacja nadawcza radia i telewizji,yes,,,,,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,rezydencja ambasadora,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,biblioteka,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,dom studencki,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,dom kultury,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,placówka operatora pocztowego,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,magazyn,warehouse,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,budynek kontroli ruchu kolejowego,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,produkcyjny,industrial,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,inny urząd administracji publicznej,public,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,hipermarket lub supermarket,retail,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,magazyn,warehouse,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,magazyn,warehouse,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,kino,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,Urząd Miasta,government,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,dom opieki społecznej,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,placówka operatora pocztowego,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,dom towarowy lub handlowy,retail,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,dworzec lotniczy,yes,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,meczet,mosque,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,budynek wielorodzinny,apartments,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,dom opieki społecznej,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,motel,yes,,,,,motel
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,restauracja,yes,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,dom wypoczynkowy,yes,,,,,guest_house
budynki handlowo-usługowe,budynki handlowo-usługowe,dom weselny,yes,,,,,
budynki o dwóch mieszkaniach,budynki o dwóch mieszkaniach,leśniczówka,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,elektrociepłownia,yes,,,,,
budynki biurowe,budynki biurowe,budynek wielorodzinny,office,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,internat,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,internat,yes,,,,,
budynki biurowe,budynki biurowe,Urząd Miasta i Gminy,government,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,zajazd,yes,,,,,motel
budynki handlowo-usługowe,budynki handlowo-usługowe,hala wystawowa,yes,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",apteka,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,Urząd Miasta i Gminy,government,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,muzeum,yes,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,Urząd Miasta i Gminy,government,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,stacja paliw,yes,,,,,
ogólnodostępne obiekty kulturalne,"","",yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,internat,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,parking wielopoziomowy,parking,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,motel,hotel,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,przedszkole,kindergarten,,,,,
budynki hoteli,budynki hoteli,dom weselny,yes,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,ośrodek szkoleniowo wypoczynkowy,hotel,,,,,
budynki biurowe,budynki biurowe,Urząd Miasta,government,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",inny urząd administracji publicznej,government,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,zabudowania koszarowe,yes,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",budynek spedycji,warehouse,,,,,
"budynki zakwaterowania turystycznego, pozostałe",pozostałe budynki zakwaterowania turystycznego,internat,yes,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,klub sportowy,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,placówka operatora pocztowego,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,straż pożarna,fire_station,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,szkoła wyższa,university,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,sala gimnastyczna,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,budynek jednorodzinny,house,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,placówka opiekuńczo-wychowawcza,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,młyn,yes,,,,,
