kategoria_bdot,funkcja_ogolna_budynku,funkcja_szczegolowa_budynku,building,amenity,man_made,leisure,historic,tourism
budynki muzeów i bibliotek,muzea lub biblioteki,dom parafialny,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,budynek wielorodzinny,apartments,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,ośrodek szkoleniowo wypoczynkowy,hotel,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,lokomotywownia lub wagonownia,yes,,,,,
budynki przemysłowe,budynki przemysłowe,zajezdnia autobusowa,yes,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,restauracja,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,Starostwo Powiatowe,government,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,placówka ochrony zdrowia,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,jednostka ratownictwa medycznego,yes,,,,,
budynki biurowe,budynki biurowe,inny urząd administracji publicznej,government,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,budynek wielorodzinny,apartments,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,szpital,hospital,,,,,
budynki przemysłowe,budynki przemysłowe,straż pożarna,fire_station,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,schronisko turystyczne,yes,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,Urząd Celny,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,budynek jednorodzinny,house,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,centrum handlowe,retail,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,dom towarowy lub handlowy,retail,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,centrum konferencyjne,yes,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,placówka badawcza,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,hospicjum,yes,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,garaż,garage,,,,,
"budynki zakwaterowania turystycznego, pozostałe",pozostałe budynki zakwaterowania turystycznego,ośrodek szkoleniowo wypoczynkowy,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,elewator,yes,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,dom pogrzebowy,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,centrum konferencyjne,yes,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,centrum handlowe,comercial,,,,,
budynki biurowe,budynki biurowe,przejście graniczne,yes,,,,,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,dom opieki społecznej,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,silos,,,silo,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,archiwum,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,dom weselny,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,restauracja,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,budynek wielorodzinny,apartments,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,dworzec kolejowy,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,placówka badawcza,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,Urząd Miasta,government,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,internat,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,stacja nadawcza radia i telewizji,yes,,,,,
budynki biurowe,budynki biurowe,placówka dyplomatyczna lub konsularna,yes,,,,,
budynki przemysłowe,budynki przemysłowe,bank,yes,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",Urząd Wojewódzki,government,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,apteka,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,przedszkole,yes,kindergarten,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,teatr,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,warsztat remontowo-naprawczy,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,inny urząd administracji publicznej,public,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",straż pożarna,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,budynek wielorodzinny,apartments,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,placówka dyplomatyczna lub konsularna,government,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,pływalnia,yes,,,,,
budynki przemysłowe,budynki przemysłowe,produkcyjny,industrial,,,,,
"obiekty budowlane wpisane do rejestru zabytków i objęte indywidualną ochroną konserwatorską oraz nieruchome, archeologiczne dobra kultury",budynek zabytkowy,budynki cmentarne,yes,,,,yes,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,wiatrak,yes,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,placówka operatora pocztowego,yes,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,klub sportowy,yes,,,,,
budynki biurowe,budynki biurowe,centrum konferencyjne,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,policja,yes,,,,,
budynki garaży,garaże,stacja obsługi pojazdów,garage,vehicle_inspection,,,,
budynki przemysłowe,budynki przemysłowe,pensjonat,yes,,,,,guest_house
budynki biurowe,budynki biurowe,Urząd Wojewódzki,government,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,opera,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,"",yes,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,szkoła podstawowa,school,school,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,zakład karny lub poprawczy,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,centrum konferencyjne,yes,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,budynek gospodarczy,warehouse,,,,,
budynki garaży,garaże,inny urząd administracji publicznej,garage,,,,,
budynki hoteli,budynki hoteli,hotel,hotel,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,obserwatorium lub planetarium,yes,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",zbiornik na gaz,,,storage_tank,,,
budynki kultury fizycznej,budynki kultury fizycznej,"",yes,,,,,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,bursa szkolna,dormitory,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,budynek kontroli ruchu powietrznego,yes,,,,,
budynki o dwóch mieszkaniach,budynki o dwóch mieszkaniach,budynek o dwóch mieszkaniach,house,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,areszt śledczy,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,stacja obsługi pojazdów,garage,vehicle_inspection,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,prokuratura,yes,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,apteka,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,dom opieki społecznej,yes,,,,,
"obiekty budowlane wpisane do rejestru zabytków i objęte indywidualną ochroną konserwatorską oraz nieruchome, archeologiczne dobra kultury",budynek zabytkowy,siedziba firmy lub firm,yes,,,,yes,
"budynki zakwaterowania turystycznego, pozostałe",pozostałe budynki zakwaterowania turystycznego,domek kempingowy,yes,,,,,chalet
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,zakład poprawczy,yes,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,dom kultury,yes,,,,,
budynki biurowe,budynki biurowe,dom rekolekcyjny,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,restauracja,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,pawilon handlowo-usługowy,retail,,,,,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,placówka opiekuńczo-wychowawcza,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,stacja obsługi pojazdów,garage,vehicle_inspection,,,,
"budynki zakwaterowania turystycznego, pozostałe",pozostałe budynki zakwaterowania turystycznego,schronisko turystyczne,yes,,,,,alpine_hut
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",warsztat remontowo-naprawczy,yes,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,apteka,yes,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,stacja pomp,service,,,,,
budynki biurowe,budynki biurowe,dom wypoczynkowy,hotel,,,,,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,dom dla bezdomnych,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,"klub, dyskoteka",yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,placówka opiekuńczo-wychowawcza,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,apteka,yes,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,dom zakonny,monastery,,,,,
budynki mieszkalne jednorodzinne,budynki mieszkalne jednorodzinne,dom letniskowy,bungalow,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,stacja sanitarno-epidemiologiczna,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,galeria sztuki,yes,,,,,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,rezydencja biskupia,yes,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,straż pożarna,fire_station,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,budynek o dwóch mieszkaniach,house,,,,,
budynki biurowe,budynki biurowe,hotel,hotel,,,,,
"obiekty budowlane wpisane do rejestru zabytków i objęte indywidualną ochroną konserwatorską oraz nieruchome, archeologiczne dobra kultury",budynek zabytkowy,kościół,church,,,,yes,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,koszary,yes,,,,,
budynki przemysłowe,budynki przemysłowe,elektrownia,industrial,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,dom dziecka,yes,,,,,
budynki przemysłowe,budynki przemysłowe,młyn,yes,,,,,
budynki garaży,garaże,parking wielopoziomowy,parking,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,bank,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,hala widowiskowa,yes,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,budynek jednorodzinny,house,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,placówka ochrony zdrowia,yes,,,,,
budynki mieszkalne jednorodzinne,budynki mieszkalne jednorodzinne,leśniczówka,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,straż pożarna,fire_station,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,inny urząd administracji publicznej,public,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,hangar,hangar,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,kręgielnia,yes,,,,,
"budynki zakwaterowania turystycznego, pozostałe",pozostałe budynki zakwaterowania turystycznego,dom rekolekcyjny,yes,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",placówka operatora pocztowego,yes,,,,,
"budynki zakwaterowania turystycznego, pozostałe",pozostałe budynki zakwaterowania turystycznego,dom weselny,yes,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,placówka opiekuńczo-wychowawcza,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,straż pożarna,fire_station,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,schronisko turystyczne,yes,,,,,alpine_hut
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,placówka dyplomatyczna lub konsularna,yes,,,,,
budynki przemysłowe,budynki przemysłowe,elektrociepłownia,yes,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,budynek kontroli ruchu kolejowego,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,warsztat remontowo-naprawczy,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,Starostwo Powiatowe,government,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,bank,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,kasyno,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,inny urząd administracji publicznej,government,,,,,
budynki garaży,garaże,siedziba firmy lub firm,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,siedziba firmy lub firm,yes,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",restauracja,yes,,,,,
"obiekty budowlane wpisane do rejestru zabytków i objęte indywidualną ochroną konserwatorską oraz nieruchome, archeologiczne dobra kultury",budynek zabytkowy,apteka,yes,,,,yes,
budynki kultury fizycznej,budynki kultury fizycznej,placówka opiekuńczo-wychowawcza,yes,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,budynki cmentarne,yes,,,,,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,dom parafialny,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,klasztor,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,dom parafialny,yes,,,,,
budynki przemysłowe,"","",yes,,,,,
"obiekty budowlane wpisane do rejestru zabytków i objęte indywidualną ochroną konserwatorską oraz nieruchome, archeologiczne dobra kultury",budynek zabytkowy,szkoła wyższa,university,,,,yes,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,placówka ochrony zdrowia,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,teatr,yes,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,restauracja,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,archiwum,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,dom kultury,yes,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",chłodnia,yes,,,,,
budynki biurowe,budynki biurowe,dom dziecka,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,ujeżdżalnia,stable,,,horse_riding,,
budynki garaży,garaże,bank,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,inny urząd administracji publicznej,government,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,"klub, dyskoteka",yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,garaż,garage,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",produkcyjny,industrial,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,dom towarowy lub handlowy,retail,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,hotel,hotel,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",zbiornik na ciecz,,,storage_tank,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,magazyn,warehouse,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,pensjonat,hotel,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,produkcyjny,industrial,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,budynek wielorodzinny,apartments,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,apteka,yes,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,inny urząd administracji publicznej,public,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,klub sportowy,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,pensjonat,yes,,,,,guest_house
budynki handlowo-usługowe,budynki handlowo-usługowe,inny urząd administracji publicznej,retail,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,apteka,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,budynek jednorodzinny,house,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,parking wielopoziomowy,parking,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,bank,yes,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",elewator,,,silo,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,ośrodek opieki społecznej,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,teatr,yes,,,,,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,zakład poprawczy,yes,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,stacja gazowa,service,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,hala widowiskowa,yes,,,,,
budynki biurowe,budynki biurowe,ministerstwo,government,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,sąd,government,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,dworzec autobusowy,yes,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,magazyn,warehouse,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,dom zakonny,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,placówka opiekuńczo-wychowawcza,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,dom opieki społecznej,yes,,,,,
"obiekty budowlane wpisane do rejestru zabytków i objęte indywidualną ochroną konserwatorską oraz nieruchome, archeologiczne dobra kultury",budynek zabytkowy,muzeum,yes,,,,yes,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,produkcyjny,industrial,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,budynek jednorodzinny,house,,,,,
budynki mieszkalne jednorodzinne,budynki mieszkalne jednorodzinne,budynek jednorodzinny,house,,,,,
budynki garaży,garaże,restauracja,yes,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,zajezdnia autobusowa,yes,,,,,
budynki biurowe,budynki biurowe,Urząd Gminy,government,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,straż pożarna,fire_station,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,dom towarowy lub handlowy,retail,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,budynek jednorodzinny,house,,,,,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,klasztor,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,stacja paliw,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,kotłownia,service,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",centrum handlowe,retail,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",policja,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,klinika weterynaryjna,yes,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,stacja paliw,yes,,,,,
budynki garaży,garaże,garaż,garage,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,hala widowiskowa,yes,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,placówka opiekuńczo-wychowawcza,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,budynek o dwóch mieszkaniach,house,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,dom kultury,yes,,,,,
budynki biurowe,budynki biurowe,motel,yes,,,,,motel
budynki przemysłowe,budynki przemysłowe,budynek wielorodzinny,apartments,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,teatr,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,Urząd Gminy,government,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,hala sportowa,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,warsztat remontowo-naprawczy,yes,,,,,
budynki przemysłowe,budynki przemysłowe,dom dla bezdomnych,yes,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,siedziba firmy lub firm,yes,,,,,
budynki hoteli,budynki hoteli,motel,hotel,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,muzeum,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,szkoła podstawowa,school,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,motel,yes,,,,,motel
budynki muzeów i bibliotek,muzea lub biblioteki,siedziba firmy lub firm,yes,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,centrum handlowe,retail,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,motel,yes,,,,,motel
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,"",yes,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",kotłownia,service,,,,,
budynki przemysłowe,budynki przemysłowe,budynek o dwóch mieszkaniach,house,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,latarnia morska,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,Urząd Miasta i Gminy,government,,,,,
budynki przemysłowe,budynki przemysłowe,spalarnia śmieci,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,koszary,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,apteka,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,restauracja,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,szkoła ponadpodstawowa,school,,,,,
budynki garaży,garaże,lokomotywownia lub wagonownia,industrial,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,policja,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,galeria sztuki,yes,,,,,
budynki przemysłowe,budynki przemysłowe,ośrodek szkoleniowo wypoczynkowy,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,dom dla bezdomnych,yes,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,restauracja,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,hipermarket lub supermarket,retail,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,leśniczówka,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,szkoła ponadpodstawowa,school,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",siedziba firmy lub firm,office,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,izba wytrzeźwień,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,dom towarowy lub handlowy,retail,,,,,
budynki o trzech i więcej mieszkaniach,budynki o trzech i więcej mieszkaniach,budynek wielorodzinny,apartments,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,filharmonia,yes,,,,,
budynki biurowe,budynki biurowe,policja,yes,,,,,
"obiekty budowlane wpisane do rejestru zabytków i objęte indywidualną ochroną konserwatorską oraz nieruchome, archeologiczne dobra kultury",budynek zabytkowy,teatr,yes,,,,yes,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,parking wielopoziomowy,parking,,,,,
budynki biurowe,budynki biurowe,hotel robotniczy,hotel,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,budynek jednorodzinny,house,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,szkoła ponadpodstawowa,school,,,,,
budynki przemysłowe,budynki przemysłowe,hotel,hotel,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,centrum telekomunikacyjne,yes,,,,,
budynki hoteli,budynki hoteli,budynek jednorodzinny,house,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,hala widowiskowa,yes,,,,,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,internat,yes,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",hotel,yes,,,,,
budynki hoteli,budynki hoteli,budynek o dwóch mieszkaniach,house,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,pawilon handlowo-usługowy,retail,,,,,
